sample_id,weight_g,blood_glucose,tumor_volume,survival_days
1,23.4,112,45.2,89
2,25.1,98,32.8,124
3,21.8,135,67.3,56
4,24.7,107,51.9,78
5,22.3,121,39.4,103
6,26.5,89,28.7,145
7,23.9,143,72.1,42
8,25.8,101,44.6,91
9,22.1,118,55.3,67
10,24.2,96,36.2,112
11,23.6,128,48.7,74
12,25.4,105,41.3,98
13,21.5,137,63.8,51
14,24.9,92,30.5,131
15,22.8,115,57.6,62
16,26.1,99,35.4,118
17,23.3,141,69.2,45
18,25.7,108,42.8,86
19,22.6,123,53.1,71
20,24.4,94,37.9,107
21,23.1,130,46.5,82
22,25.2,103,39.7,95
23,21.9,119,61.4,58
24,24.6,97,33.6,126
25,22.4,134,54.8,64
26,26.3,91,29.3,139
27,23.8,126,50.2,76
28,25.5,110,43.1,88
29,22.0,116,58.9,60
30,24.1,100,36.7,115
